date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:08	208/208	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202016%2013:06:03%20GMT	http://www.midiplus.com.tw/robots.txt		(from )
10:06:10	59178/59178	---M--	200	added ('OK')	text/html	etag:%222f49d8e-e72a-5426c2e1d4e46%22	http://www.midiplus.com.tw/	C:/My%20Web%20Sites/midiplus-web/www.midiplus.com.tw/index.html	(from )
10:06:11	781/781	---M--	200	added ('OK')	application/xml	etag:%2236003f4-30d-5426a528c8253%22	http://www.midiplus.com.tw/index.files/filelist.xml	C:/My%20Web%20Sites/midiplus-web/www.midiplus.com.tw/index.files/filelist.xml	(from http://www.midiplus.com.tw/)
10:06:12	222/222	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202016%2013:06:06%20GMT	http://www.midiplus.com.tw/index.files/editdata.mso	C:/My%20Web%20Sites/midiplus-web/www.midiplus.com.tw/index.files/editdata.1.delayed	(from http://www.midiplus.com.tw/)
10:06:12	218/218	---M--	200	added ('OK')	application/xml	etag:%22360007d-da-54269f9b861ac%22	http://www.midiplus.com.tw/index.files/item0022.xml	C:/My%20Web%20Sites/midiplus-web/www.midiplus.com.tw/index.files/item0022.xml	(from http://www.midiplus.com.tw/)
10:06:13	3129/3129	---M--	200	added ('OK')	text/plain	etag:%223600411-c39-5426a53195903%22	http://www.midiplus.com.tw/index.files/themedata.thmx	C:/My%20Web%20Sites/midiplus-web/www.midiplus.com.tw/index.files/themedata.thmx	(from http://www.midiplus.com.tw/)
10:06:14	314/314	---M--	200	added ('OK')	application/xml	etag:%2236003f3-13a-5426a5289fdcb%22	http://www.midiplus.com.tw/index.files/colorschememapping.xml	C:/My%20Web%20Sites/midiplus-web/www.midiplus.com.tw/index.files/colorschememapping.xml	(from http://www.midiplus.com.tw/)
10:06:15	1739/1739	---M--	200	added ('OK')	text/html	etag:%2236003f5-6cb-5426a528ff90b%22	http://www.midiplus.com.tw/index.files/header.htm	C:/My%20Web%20Sites/midiplus-web/www.midiplus.com.tw/index.files/header.html	(from http://www.midiplus.com.tw/)
10:06:16	5870/5870	---M--	200	added ('OK')	image/jpeg	etag:%2236003f6-16ee-5426a5292ac73%22	http://www.midiplus.com.tw/index.files/image001.jpg	C:/My%20Web%20Sites/midiplus-web/www.midiplus.com.tw/index.files/image001.jpg	(from http://www.midiplus.com.tw/)
10:06:17	386/386	---M--	200	added ('OK')	image/png	etag:%223600305-182-5426a5297c13b%22	http://www.midiplus.com.tw/index.files/image002.png	C:/My%20Web%20Sites/midiplus-web/www.midiplus.com.tw/index.files/image002.png	(from http://www.midiplus.com.tw/)
10:06:20	120861/120861	---M--	200	added ('OK')	text/html	etag:%222f49d7e-1d81d-5426c2e235156%22	http://www.midiplus.com.tw/KeyboardController.htm	C:/My%20Web%20Sites/midiplus-web/www.midiplus.com.tw/KeyboardController.html	(from http://www.midiplus.com.tw/)
10:06:20	252/252	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2002%20Dec%202016%2013:06:14%20GMT	http://www.midiplus.com.tw/MidiInterface.htm	C:/My%20Web%20Sites/midiplus-web/www.midiplus.com.tw/MidiInterface.9.delayed	(from http://www.midiplus.com.tw/)
10:06:22	75456/75456	---M--	200	added ('OK')	text/html	etag:%222f49d93-126c0-5426c2e356e0e%22	http://www.midiplus.com.tw/midiinterface.htm	C:/My%20Web%20Sites/midiplus-web/www.midiplus.com.tw/midiinterface.html	(from http://www.midiplus.com.tw/)
10:06:24	74202/74202	---M--	200	added ('OK')	text/html	etag:%222f49d77-121da-5426c2d9e1fae%22	http://www.midiplus.com.tw/AudioInterface.htm	C:/My%20Web%20Sites/midiplus-web/www.midiplus.com.tw/AudioInterface.html	(from http://www.midiplus.com.tw/)
10:06:26	61034/61034	---M--	200	added ('OK')	text/html	etag:%222f4bd40-ee6a-5426c836e2045%22	http://www.midiplus.com.tw/Sound%20module.htm	C:/My%20Web%20Sites/midiplus-web/www.midiplus.com.tw/Sound%20module.html	(from http://www.midiplus.com.tw/)
